R054240	-2.226	4978	1.922	0.31	11.181	192.12199	-16.459999
R054638	-1.978	5474	3.237	0.336	12.065	194.942	-22.306999
R054641	-2.622	4927	1.934	0.605	10.066	196.017	-24.143999
R054726	-1.435	6117	4.386	0.242	11.792	206.345	-16.851999
R054776	-2.278	5286	2.562	0.473	11.688	226.929	-16.438999
R054815	-2.433	4913	1.418	0.359	11.076	230.606	-17.256001
R055066	-2.612	4567	1.458	-0.502	10.631	312.20999	-73.695999
R055537	-2.101	5326	3.138	0.279	10.999	209.75101	-6.7750001
R055563	-2.117	5173	2.085	-0.271	11.789	208.731	-9.21
R055856	-1.43	5250	2.559	0.17	11.062	140.84399	-7.8600001
R055998	-2.564	4742	1.11	-0.387	11.316	182.11	-9.2969999
R056190	-1.947	5398	2.423	0.478	10.243	200.30701	-17.753
R056274	-1.852	5492	3.853	0.419	11.263	205.27299	-9.1929998
R056395	-1.851	4574	1.543	-0.351	10.505	223.914	-23.096001
R056465	-2.565	4466	0.59	-0.763	9.317	313.72198	-7.7080002
R056537	-1.983	5003	1.873	0.284	10.762	312.40701	-17.91
R056690	-2.04	6149	3.661	0.513	11.922	179.091	-4.3870001
R057034	-2.498	5327	2.893	0.692	11.344	206.51401	-5.4039998
R057204	-0.467	5555	4.616	0.121	12.348	314.88501	-2.654
R057229	-0.685	6191	3.744	0.023	12.503	315.03799	-4.8319998
R057258	-2.04	5025	2.054	0.273	10.613	312.32199	-59.851002
R057325	-2.074	5309	3.174	0.392	9.363	317.642	-63.527
R057478	-1.385	4024	0.472	-0.87	10.46	318.923	-6.6570001
R057590	-1.549	5045	1.868	0.23	11.758	189.746	-41.452
R058634	-1.742	5386	3.526	0.011	11.873	229.09	-1.664
R059054	-2.615	4908	1.743	0.326	11.602	201.575	-9.7550001
R059173	-2.036	5103	1.899	-0.126	11.015	218.459	-35.175999
R059500	-0.524	6193	4.036	0.127	11.627	203.554	-3.8940001
R059526	-2.043	5816	3.629	0.46	11.79	204.742	-3.766
